benchmark,job_id,node,prompt_level,submission_index,variant,case,metric_name,metric_value,metric_unit,correctness,status,result_type,accepted,reject_reason,notes
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=2;experts=128;block_size=32,mean_latency,12.602596,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=3;experts=128;block_size=32,mean_latency,12.620570,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=3;topk=4;experts=128;block_size=32,mean_latency,12.608342,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=2;experts=32;block_size=32,mean_latency,13.509467,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=3;experts=32;block_size=32,mean_latency,14.400475,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=4;experts=32;block_size=32,mean_latency,13.010791,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=2;experts=128;block_size=32,mean_latency,12.973557,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=3;experts=128;block_size=32,mean_latency,13.011600,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=256;topk=4;experts=128;block_size=32,mean_latency,13.008751,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=2;experts=32;block_size=32,mean_latency,17.328722,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=3;experts=32;block_size=32,mean_latency,19.977180,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=4;experts=32;block_size=32,mean_latency,22.283243,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=2;experts=128;block_size=32,mean_latency,16.952499,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=3;experts=128;block_size=32,mean_latency,19.395082,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=4096;topk=4;experts=128;block_size=32,mean_latency,21.443453,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=2;experts=32;block_size=32,mean_latency,22.453232,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=3;experts=32;block_size=32,mean_latency,27.184053,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=4;experts=32;block_size=32,mean_latency,32.540516,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=2;experts=128;block_size=32,mean_latency,21.461138,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=3;experts=128;block_size=32,mean_latency,25.975050,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948048,gn1115,P3,1,cached_cumsum,tokens=8192;topk=4;experts=128;block_size=32,mean_latency,30.923532,us,PASS,ACCEPTED,PARAM_TUNE,true,,Cached large-path cumsum device buffer and used cudaMemsetAsync.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=2;experts=32;block_size=32,mean_latency,12.312983,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=3;experts=32;block_size=32,mean_latency,11.993733,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=4;experts=32;block_size=32,mean_latency,11.999103,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=2;experts=128;block_size=32,mean_latency,30.179283,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=3;experts=128;block_size=32,mean_latency,30.191574,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=1;topk=4;experts=128;block_size=32,mean_latency,30.176317,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=2;experts=32;block_size=32,mean_latency,11.996658,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=3;experts=32;block_size=32,mean_latency,12.002566,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=4;experts=32;block_size=32,mean_latency,12.094651,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=2;experts=128;block_size=32,mean_latency,30.273478,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=3;experts=128;block_size=32,mean_latency,30.297132,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=3;topk=4;experts=128;block_size=32,mean_latency,30.256990,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=2;experts=32;block_size=32,mean_latency,13.629895,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=3;experts=32;block_size=32,mean_latency,14.521487,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=4;experts=32;block_size=32,mean_latency,13.018501,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=2;experts=128;block_size=32,mean_latency,31.339457,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=3;experts=128;block_size=32,mean_latency,31.810295,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=256;topk=4;experts=128;block_size=32,mean_latency,13.010862,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=2;experts=32;block_size=32,mean_latency,17.397341,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=3;experts=32;block_size=32,mean_latency,19.859295,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=4;experts=32;block_size=32,mean_latency,22.070271,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=2;experts=128;block_size=32,mean_latency,16.766495,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=3;experts=128;block_size=32,mean_latency,19.218027,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=4096;topk=4;experts=128;block_size=32,mean_latency,21.152378,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=2;experts=32;block_size=32,mean_latency,22.203476,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=3;experts=32;block_size=32,mean_latency,27.256346,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=4;experts=32;block_size=32,mean_latency,32.323910,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=2;experts=128;block_size=32,mean_latency,21.151720,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=3;experts=128;block_size=32,mean_latency,25.838827,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948049,gn1115,P3,2,small_batch_128,tokens=8192;topk=4;experts=128;block_size=32,mean_latency,30.864475,us,PASS,REJECTED,REGRESSION,false,Mean latency regressed versus accepted attempt 1 despite PASS correctness.,Extended small-batch path to 128 experts; high shared-memory path regressed tiny 128-expert cases.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=2;experts=32;block_size=32,mean_latency,12.121530,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=3;experts=32;block_size=32,mean_latency,11.841535,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=4;experts=32;block_size=32,mean_latency,11.844965,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=2;experts=128;block_size=32,mean_latency,12.614473,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=3;experts=128;block_size=32,mean_latency,12.628626,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=1;topk=4;experts=128;block_size=32,mean_latency,12.631236,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=2;experts=32;block_size=32,mean_latency,11.833167,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=3;experts=32;block_size=32,mean_latency,11.873790,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=4;experts=32;block_size=32,mean_latency,11.947738,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=2;experts=128;block_size=32,mean_latency,12.628778,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=3;experts=128;block_size=32,mean_latency,12.632595,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=3;topk=4;experts=128;block_size=32,mean_latency,12.609818,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=2;experts=32;block_size=32,mean_latency,13.463235,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=3;experts=32;block_size=32,mean_latency,14.364220,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=4;experts=32;block_size=32,mean_latency,13.074674,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=2;experts=128;block_size=32,mean_latency,12.967881,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=3;experts=128;block_size=32,mean_latency,13.013871,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=256;topk=4;experts=128;block_size=32,mean_latency,13.012788,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=2;experts=32;block_size=32,mean_latency,17.388996,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=3;experts=32;block_size=32,mean_latency,20.019104,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=4;experts=32;block_size=32,mean_latency,22.342791,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=2;experts=128;block_size=32,mean_latency,16.960855,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=3;experts=128;block_size=32,mean_latency,19.410480,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=4096;topk=4;experts=128;block_size=32,mean_latency,21.409943,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=8192;topk=2;experts=32;block_size=32,mean_latency,22.460453,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=8192;topk=3;experts=32;block_size=32,mean_latency,27.232676,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=8192;topk=4;experts=32;block_size=32,mean_latency,32.543079,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
moe-align,948050,gn1115,P3,3,cached_cumsum_trial2,tokens=8192;topk=2;experts=128;block_size=32,mean_latency,21.434795,us,PASS,ACCEPTED,PARAM_TUNE,true,,Repeat trial of accepted cached-cumsum candidate.
