tag,job_id,node,tokens,topk,experts,block_size,latency_us,correctness,status,accepted,mean_latency_us,speedup_vs_baseline
opt2,948015,gn1222,4096,4,32,32,22.428488,PASS,rejected,no,22.465978,1.150765
opt2,948015,gn1222,4096,2,128,32,17.130564,PASS,rejected,no,22.465978,1.200040
opt2,948015,gn1222,4096,3,128,32,19.598230,PASS,rejected,no,22.465978,1.173079
opt2,948015,gn1222,4096,4,128,32,21.672260,PASS,rejected,no,22.465978,1.158172
opt2,948015,gn1222,8192,2,32,32,22.585119,PASS,rejected,no,22.465978,1.151295
opt2,948015,gn1222,8192,3,32,32,27.402542,PASS,rejected,no,22.465978,1.132387
opt2,948015,gn1222,8192,4,32,32,32.906334,PASS,rejected,no,22.465978,1.099397
opt2,948015,gn1222,8192,2,128,32,21.620945,PASS,rejected,no,22.465978,1.156651
opt2,948015,gn1222,8192,3,128,32,26.142807,PASS,rejected,no,22.465978,1.134080
opt2,948015,gn1222,8192,4,128,32,31.214781,PASS,rejected,no,22.465978,1.109905
opt3,948016,gn1222,1,2,32,32,12.242524,PASS,rejected,no,16.992179,0.999292
opt3,948016,gn1222,1,3,32,32,11.880279,PASS,rejected,no,16.992179,1.003324
opt3,948016,gn1222,1,4,32,32,11.883646,PASS,rejected,no,16.992179,1.002904
opt3,948016,gn1222,1,2,128,32,12.779214,PASS,rejected,no,16.992179,1.266746
opt3,948016,gn1222,1,3,128,32,12.808438,PASS,rejected,no,16.992179,1.269872
opt3,948016,gn1222,1,4,128,32,12.831506,PASS,rejected,no,16.992179,1.262379
opt3,948016,gn1222,3,2,32,32,11.886839,PASS,rejected,no,16.992179,1.002961
opt3,948016,gn1222,3,3,32,32,11.888192,PASS,rejected,no,16.992179,1.003551
opt3,948016,gn1222,3,4,32,32,12.010620,PASS,rejected,no,16.992179,1.002592
opt3,948016,gn1222,3,2,128,32,12.807134,PASS,rejected,no,16.992179,1.267875
opt3,948016,gn1222,3,3,128,32,12.805938,PASS,rejected,no,16.992179,1.268908
opt3,948016,gn1222,3,4,128,32,12.789325,PASS,rejected,no,16.992179,1.269039
opt3,948016,gn1222,256,2,32,32,13.588829,PASS,rejected,no,16.992179,0.997198
opt3,948016,gn1222,256,3,32,32,14.457827,PASS,rejected,no,16.992179,1.000485
opt3,948016,gn1222,256,4,32,32,13.184623,PASS,rejected,no,16.992179,1.266742
opt3,948016,gn1222,256,2,128,32,13.148237,PASS,rejected,no,16.992179,1.252772
opt3,948016,gn1222,256,3,128,32,13.192059,PASS,rejected,no,16.992179,1.254829
opt3,948016,gn1222,256,4,128,32,13.181723,PASS,rejected,no,16.992179,1.251689
opt3,948016,gn1222,4096,2,32,32,17.577511,PASS,rejected,no,16.992179,1.196747
opt3,948016,gn1222,4096,3,32,32,20.139944,PASS,rejected,no,16.992179,1.168921
opt3,948016,gn1222,4096,4,32,32,22.508375,PASS,rejected,no,16.992179,1.146681
opt3,948016,gn1222,4096,2,128,32,17.043119,PASS,rejected,no,16.992179,1.206197
opt3,948016,gn1222,4096,3,128,32,19.531384,PASS,rejected,no,16.992179,1.177094
opt3,948016,gn1222,4096,4,128,32,21.673277,PASS,rejected,no,16.992179,1.158117
opt3,948016,gn1222,8192,2,32,32,22.677170,PASS,rejected,no,16.992179,1.146622
opt3,948016,gn1222,8192,3,32,32,27.440323,PASS,rejected,no,16.992179,1.130828
opt3,948016,gn1222,8192,4,32,32,32.751434,PASS,rejected,no,16.992179,1.104597
opt3,948016,gn1222,8192,2,128,32,21.654947,PASS,rejected,no,16.992179,1.154835
opt3,948016,gn1222,8192,3,128,32,26.217337,PASS,rejected,no,16.992179,1.130856
opt3,948016,gn1222,8192,4,128,32,31.183598,PASS,rejected,no,16.992179,1.111015
opt4,948019,gn1222,1,2,32,32,12.249115,PASS,accepted,yes,15.939143,0.998754
opt4,948019,gn1222,1,3,32,32,11.888435,PASS,accepted,yes,15.939143,1.002636
opt4,948019,gn1222,1,4,32,32,11.888963,PASS,accepted,yes,15.939143,1.002455
opt4,948019,gn1222,1,2,128,32,11.370656,PASS,accepted,yes,15.939143,1.423666
opt4,948019,gn1222,1,3,128,32,11.376886,PASS,accepted,yes,15.939143,1.429660
opt4,948019,gn1222,1,4,128,32,11.376945,PASS,accepted,yes,15.939143,1.423777
opt4,948019,gn1222,3,2,32,32,11.884889,PASS,accepted,yes,15.939143,1.003126
opt4,948019,gn1222,3,3,32,32,11.889414,PASS,accepted,yes,15.939143,1.003448
opt4,948019,gn1222,3,4,32,32,12.023629,PASS,accepted,yes,15.939143,1.001507
opt4,948019,gn1222,3,2,128,32,11.378089,PASS,accepted,yes,15.939143,1.427115
opt4,948019,gn1222,3,3,128,32,11.379622,PASS,accepted,yes,15.939143,1.427952
opt4,948019,gn1222,3,4,128,32,11.378086,PASS,accepted,yes,15.939143,1.426439
opt4,948019,gn1222,256,2,32,32,13.541055,PASS,accepted,yes,15.939143,1.000717
opt4,948019,gn1222,256,3,32,32,14.455172,PASS,accepted,yes,15.939143,1.000669
opt4,948019,gn1222,256,4,32,32,11.773655,PASS,accepted,yes,15.939143,1.418549
opt4,948019,gn1222,256,2,128,32,11.710860,PASS,accepted,yes,15.939143,1.406536
opt4,948019,gn1222,256,3,128,32,11.731699,PASS,accepted,yes,15.939143,1.411030
opt4,948019,gn1222,256,4,128,32,11.779765,PASS,accepted,yes,15.939143,1.400658
opt4,948019,gn1222,4096,2,32,32,16.185081,PASS,accepted,yes,15.939143,1.299705
opt4,948019,gn1222,4096,3,32,32,18.749769,PASS,accepted,yes,15.939143,1.255589
opt4,948019,gn1222,4096,4,32,32,21.083580,PASS,accepted,yes,15.939143,1.224172
opt4,948019,gn1222,4096,2,128,32,15.643660,PASS,accepted,yes,15.939143,1.314101
opt4,948019,gn1222,4096,3,128,32,18.098234,PASS,accepted,yes,15.939143,1.270304
opt4,948019,gn1222,4096,4,128,32,20.157492,PASS,accepted,yes,15.939143,1.245205
opt4,948019,gn1222,8192,2,32,32,21.213209,PASS,accepted,yes,15.939143,1.225752
opt4,948019,gn1222,8192,3,32,32,25.991297,PASS,accepted,yes,15.939143,1.193872
opt4,948019,gn1222,8192,4,32,32,31.311977,PASS,accepted,yes,15.939143,1.155377
opt4,948019,gn1222,8192,2,128,32,20.214186,PASS,accepted,yes,15.939143,1.237145
opt4,948019,gn1222,8192,3,128,32,24.741076,PASS,accepted,yes,15.939143,1.198332
opt4,948019,gn1222,8192,4,128,32,29.707783,PASS,accepted,yes,15.939143,1.166207
