benchmark,mode,round_id,human_decision,variant,impl,dispatch_selected_impl,baseline_impl,numSlice,sliceSize,repeat,trial_id,time_ms,baseline_time_ms,speedup_vs_impl1,correctness_status,measurement_validity,speedup_claim_valid,result_type,mean_ms,min_ms,max_ms,stddev_ms,cv,raw_stdout_path,raw_stderr_path,build_log_path,slurm_job_id,hostname,gpu_name,cuda_version,profiler_status,notes
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,2,0.321088,0.322228,1.003550,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.321505,0.321088,0.321731,0.000362,0.001125,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,1,1,100000,256,100,3,0.321731,0.321139,0.998160,PASS,VALID,false,MEASUREMENT_EQUIVALENT,0.321505,0.321088,0.321731,0.000362,0.001125,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_256_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=1; result_type fixed to MEASUREMENT_EQUIVALENT and no speedup claim
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,784,100,1,1.431675,1.431675,n/a,PASS,VALID,false,BASELINE,1.442716,1.431675,1.448561,0.009567,0.006631,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,784,100,2,1.447912,1.447912,n/a,PASS,VALID,false,BASELINE,1.442716,1.431675,1.448561,0.009567,0.006631,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,784,100,3,1.448561,1.448561,n/a,PASS,VALID,false,BASELINE,1.442716,1.431675,1.448561,0.009567,0.006631,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,784,100,1,1.058517,1.431675,1.352529,PASS,VALID,true,PARAM_TUNE,1.036402,1.025280,1.058517,0.019152,0.018480,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,784,100,2,1.025280,1.447912,1.412211,PASS,VALID,true,PARAM_TUNE,1.036402,1.025280,1.058517,0.019152,0.018480,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,784,100,3,1.025409,1.448561,1.412667,PASS,VALID,true,PARAM_TUNE,1.036402,1.025280,1.058517,0.019152,0.018480,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_784_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,1024,100,1,2.103249,2.103249,n/a,PASS,VALID,false,BASELINE,2.104045,2.103249,2.105205,0.001028,0.000488,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,1024,100,2,2.103680,2.103680,n/a,PASS,VALID,false,BASELINE,2.104045,2.103249,2.105205,0.001028,0.000488,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,100000,1024,100,3,2.105205,2.105205,n/a,PASS,VALID,false,BASELINE,2.104045,2.103249,2.105205,0.001028,0.000488,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,1024,100,1,1.238475,2.103249,1.698257,PASS,VALID,true,PARAM_TUNE,1.238443,1.238383,1.238475,0.000052,0.000042,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,1024,100,2,1.238470,2.103680,1.698612,PASS,VALID,true,PARAM_TUNE,1.238443,1.238383,1.238475,0.000052,0.000042,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,100000,1024,100,3,1.238383,2.105205,1.699963,PASS,VALID,true,PARAM_TUNE,1.238443,1.238383,1.238475,0.000052,0.000042,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_1024_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,50000,2048,100,1,2.237592,2.237592,n/a,PASS,VALID,false,BASELINE,2.237452,2.236960,2.237805,0.000439,0.000196,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,50000,2048,100,2,2.236960,2.236960,n/a,PASS,VALID,false,BASELINE,2.237452,2.236960,2.237805,0.000439,0.000196,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,paired_impl1_baseline,1,1,1,50000,2048,100,3,2.237805,2.237805,n/a,PASS,VALID,false,BASELINE,2.237452,2.236960,2.237805,0.000439,0.000196,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_1_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,paired impl=1 baseline measured in same Slurm final confirmation job
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,50000,2048,100,1,1.672972,2.237592,1.337495,PASS,VALID,true,PARAM_TUNE,1.672904,1.672564,1.673177,0.000312,0.000187,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_1.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_1.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,50000,2048,100,2,1.673177,2.236960,1.336954,PASS,VALID,true,PARAM_TUNE,1.672904,1.672564,1.673177,0.000312,0.000187,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_2.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_2.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
softmax-cuda,Mode_B,final,Approved,impl3_shape_dispatch_impl1_small_impl2_large,3,2,1,50000,2048,100,3,1.672564,2.237805,1.337949,PASS,VALID,true,PARAM_TUNE,1.672904,1.672564,1.673177,0.000312,0.000187,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_3.stdout,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/raw/slice_2048_impl_3_trial_3.stderr,/home/r14525078/HeCBench/phase3/softmax-cuda/mode_B_human_guided/final/build.log,949717,gn1228.twcc.ai,Tesla V100-SXM2-32GB,V12.8.61,NOT_RUN,final confirmation: shape-aware dispatch selected unchanged impl=2 large-slice path; speedup is dispatch-policy result
